VIN,Predicted_Optimized_Performance
VIN00001,79.36053508526912
VIN00001,79.34064683148121
VIN00001,79.36153032788623
VIN00001,79.3480093669311
VIN00001,79.37555069039571
VIN00001,79.34055725156125
VIN00001,79.35333220827648
VIN00001,79.35578105463173
VIN00001,79.36793078497529
VIN00001,79.34647186585349
VIN00001,79.3503205249204
VIN00002,79.28385318607586
VIN00002,79.2887224433964
VIN00002,79.26703560707693
VIN00002,79.288875033473
VIN00002,79.29040383516907
VIN00002,79.28997626075243
VIN00002,79.29249389136156
VIN00002,79.28061305486399
VIN00002,79.28300444836344
VIN00002,79.26584485277841
VIN00002,79.27519479717482
VIN00003,79.27285914628077
VIN00003,79.2850829922215
VIN00003,79.26226174402439
VIN00003,79.26040091235362
VIN00003,79.27556095281798
VIN00003,79.25563405967289
VIN00003,79.28977350934342
VIN00003,79.27098568599438
VIN00003,79.26812813151179
VIN00003,79.27745319295873
VIN00003,79.27838049982964
VIN00004,79.27524333278323
VIN00004,79.27235692535915
VIN00004,79.28266217990831
VIN00004,79.28197881791337
VIN00004,79.27434545062187
VIN00004,79.28622617368121
VIN00004,79.26580870165701
VIN00004,79.26074270484774
VIN00004,79.27712215077717
VIN00004,79.27001297262875
VIN00004,79.26498190119344
VIN00005,79.32212566061457
VIN00005,79.31791250677203
VIN00005,79.30460335350735
VIN00005,79.33648917721531
VIN00005,79.30343754772444
VIN00005,79.32923321947239
VIN00005,79.31825345049774
VIN00005,79.33612687065788
VIN00005,79.29682144599006
VIN00005,79.32584727886814
VIN00005,79.35369278099314
VIN00006,79.35131573928712
VIN00006,79.32390125157038
VIN00006,79.32948801213404
VIN00006,79.36317447774074
VIN00006,79.34447242210683
VIN00006,79.36750853910623
VIN00006,79.3280823630085
VIN00006,79.3661322003508
VIN00006,79.34677966184567
VIN00006,79.35589857486939
VIN00006,79.37691618887234
VIN00007,79.28222480476941
VIN00007,79.27859708609222
VIN00007,79.28354540822396
VIN00007,79.27982210827973
VIN00007,79.29171176183769
VIN00007,79.28688415776024
VIN00007,79.280550638859
VIN00007,79.27758310518875
VIN00007,79.2872335598798
VIN00007,79.27525041228516
VIN00007,79.27363452411423
VIN00008,79.2396685204978
VIN00008,79.24238268886657
VIN00008,79.22871889226467
VIN00008,79.24426622948961
VIN00008,79.23967172106104
VIN00008,79.22871240737922
VIN00008,79.25391673571066
VIN00008,79.2161822398868
VIN00008,79.25298093447844
VIN00008,79.20809681874961
VIN00008,79.24946871634926
VIN00009,79.27914706240362
VIN00009,79.28691159393495
VIN00009,79.2941794556243
VIN00009,79.284686056648
VIN00009,79.28501104391427
VIN00009,79.27318869651567
VIN00009,79.29468700775557
VIN00009,79.27773336782245
VIN00009,79.25026250599096
VIN00009,79.27636024763532
VIN00009,79.27978893439634
VIN00010,79.33013529198355
VIN00010,79.32482499564902
VIN00010,79.3519310339304
VIN00010,79.29888053741344
VIN00010,79.3328122059912
VIN00010,79.33255067914435
VIN00010,79.33191528539214
VIN00010,79.30714720425684
VIN00010,79.3264931737442
VIN00010,79.32572805625587
VIN00010,79.33171850297889
VIN00011,79.29302055994661
VIN00011,79.3138241223062
VIN00011,79.2933319853974
VIN00011,79.32047821373983
VIN00011,79.27560041148807
VIN00011,79.29605855296634
VIN00011,79.2935677048951
VIN00011,79.26224278096352
VIN00011,79.33809314753734
VIN00011,79.2683659482583
VIN00011,79.30042623136795
VIN00012,79.33373345615082
VIN00012,79.33797213208166
VIN00012,79.33555623473728
VIN00012,79.32973152744589
VIN00012,79.34502084982174
VIN00012,79.32810926501607
VIN00012,79.3240090196854
VIN00012,79.34337640792322
VIN00012,79.33109848297507
VIN00012,79.32812579532786
VIN00012,79.31608849393474
VIN00013,79.37571603692997
VIN00013,79.35245781871654
VIN00013,79.40031792431454
VIN00013,79.39699646982704
VIN00013,79.35942152940358
VIN00013,79.37279440188026
VIN00013,79.4007925383914
VIN00013,79.35413576176275
VIN00013,79.3932467976641
VIN00013,79.38244941492306
VIN00013,79.3656666282606
VIN00014,79.36013665954664
VIN00014,79.37885319450508
VIN00014,79.34699318460005
VIN00014,79.37468868397427
VIN00014,79.37746047241983
VIN00014,79.31795793766165
VIN00014,79.36164174977154
VIN00014,79.39507094668757
VIN00014,79.39563576489448
VIN00014,79.35147391174895
VIN00014,79.3678667012701
VIN00015,79.26851062739128
VIN00015,79.25701650491767
VIN00015,79.25955194857923
VIN00015,79.26184511126567
VIN00015,79.26019319621342
VIN00015,79.31024363211311
VIN00015,79.27105711767929
VIN00015,79.24910216321094
VIN00015,79.29055873239308
VIN00015,79.24325288456185
VIN00015,79.27135813636467
VIN00016,79.35462705499155
VIN00016,79.33021392565153
VIN00016,79.34331284216178
VIN00016,79.36498743158921
VIN00016,79.32209494645214
VIN00016,79.3608341606466
VIN00016,79.32814203002643
VIN00016,79.39412260838635
VIN00016,79.36485417561393
VIN00016,79.3679355649377
VIN00016,79.38494206757171
VIN00017,79.35622452271052
