VIN,Trip,Make,Model,Version,Grade,Engine_Temperature,Battery_Voltage,Engine_Vibration,Mileage,Oil_Temperature,Coolant_Temperature,Engine_Load,RPM,Throttle_Position,Intake_Air_Temperature,Exhaust_Gas_Temperature,Fuel_Pressure,Optimized_Performance
VIN00001,1,Hyundai,Elantra,2.0L,Limited,97.08029264055502,12.75292411722467,49.46246880057832,272,88.97239861229201,89.34261850098979,25.500368022220545,3277,32.03601818525353,29.17669089442817,379.375720746347,3.7968935931603616,97.56225161021376
VIN00001,2,Hyundai,Elantra,2.0L,Limited,99.95085554337763,12.700006743368807,41.83619702081991,770,88.37747619155279,89.4280746956107,83.53568656991575,5271,58.35636280305147,32.91636215766643,475.045118630495,3.776191228316548,86.93421037731676
VIN00001,3,Hyundai,Elantra,2.0L,Limited,89.78407043203929,12.735242961588412,50.33455750049432,1211,90.09573947096865,83.52856302364255,48.431562270605625,1919,97.94798654088716,30.921318256074777,428.04636152379305,3.4141699573961164,68.10505405264034
VIN00001,4,Hyundai,Elantra,2.0L,Limited,84.80639006424211,12.703865740342932,46.395325740707996,1612,94.4789236594288,82.97488195360151,51.59058506192705,5167,76.98669668214144,25.650383304673703,421.82924302692606,3.52046856195439,64.83301006518624
VIN00001,5,Hyundai,Elantra,2.0L,Limited,91.6399626619094,12.558237501458562,44.10146217661023,1727,88.9026408094152,82.36650369362175,39.05552588187762,5995,67.68437517674649,32.45360345158931,396.466081616265,3.9097810410384555,90.32707579582043
VIN00001,6,Hyundai,Elantra,2.0L,Limited,100.88931547105162,12.865214144390002,40.01964542457335,2014,91.51308288142829,84.34106933619323,71.91940566095589,1124,86.69635178728178,26.102671622391416,391.48683605256224,3.8019869912118636,85.40728687187743
VIN00001,7,Hyundai,Elantra,2.0L,Limited,99.62800966267565,12.750552678235303,38.32231306639718,2327,91.13927939710507,82.50400460404262,26.72662853539128,5478,43.99298695967141,28.321497938364583,379.1141886337649,4.1002374950296945,94.85731723992684
VIN00001,8,Hyundai,Elantra,2.0L,Limited,96.0681125181594,12.9691534162853,40.98609533726498,2698,93.39195059189854,86.96516766741308,68.55281631380458,3944,13.64926435791226,31.906233496827863,361.84296871753736,3.7709755717306805,87.6734754217142
VIN00001,9,Hyundai,Elantra,2.0L,Limited,89.77409787564075,12.338520430845332,44.17461007792056,3031,87.59918748936057,83.59979013010344,64.04884829999006,4967,7.082131392010931,32.0620730662034,375.94789955448954,3.7302537771000774,73.25547217328572
VIN00001,10,Hyundai,Elantra,2.0L,Limited,86.87711139683552,12.406262068441041,43.084435156899644,3401,98.16474261859763,82.33865428672549,49.230780389611276,5703,69.42198020149989,23.09899675660367,371.3052820269892,3.6382942754516105,72.43861353568204
VIN00002,1,Mercedes,C200,1.5L Turbo,AMG Line,100.78246018256101,12.734350227780558,46.765130058816695,216,85.57696277055805,89.68092932025803,74.28107300604375,1802,56.369590313102854,30.763127528910935,434.6015621617775,3.9841523453856578,94.59589538534748
VIN00002,2,Mercedes,C200,1.5L Turbo,AMG Line,95.35114083574632,12.918833111485771,45.99671421516291,511,89.26781883642047,79.39593489318975,79.77577636952275,3520,94.71007563075517,28.45644294281113,398.8785458646803,3.86056316535404,95.5276208049223
VIN00002,3,Mercedes,C200,1.5L Turbo,AMG Line,89.46194083181751,13.270849540338602,41.59293908528401,769,93.61025315456335,86.54830044690543,24.784181636002167,3264,15.066265336891476,25.504762047939884,474.7350909950002,3.7324901721902206,88.97440913523049
VIN00002,4,Mercedes,C200,1.5L Turbo,AMG Line,88.74056195719427,12.703955189787902,43.210284268707795,925,88.31332531331931,86.66821450782916,73.54883887411934,2600,90.6191902509213,24.784362981652123,380.0803430785724,3.667580239795867,81.16848367169376
VIN00002,5,Mercedes,C200,1.5L Turbo,AMG Line,98.87516186134124,12.912173593482521,44.088250991838756,1070,90.85931741726978,82.05584275532227,38.1111701377133,5941,11.079502758966447,30.014412167399236,414.1619932455168,3.691653573549702,77.39328338608829
VIN00002,6,Mercedes,C200,1.5L Turbo,AMG Line,88.41757996214177,12.443053536628792,46.044874938519186,1564,93.20417399132639,82.23266990630539,80.3532159387789,1666,72.61733215697714,26.81567987636819,400.86442517334706,3.9104606474586987,97.0001362600826
VIN00002,7,Mercedes,C200,1.5L Turbo,AMG Line,85.0394343501552,12.820482388273192,47.21000412661265,1672,91.83661955040054,84.83874362975564,20.06090602317492,3643,7.366156566897124,25.65251444886064,401.26496982077504,3.809398077090451,71.67210074985762
VIN00002,8,Mercedes,C200,1.5L Turbo,AMG Line,96.83094786409784,12.753309078249114,46.97854739273423,1861,90.5858348259279,83.04935786331411,40.05399189115404,3870,94.02117112378502,31.279569582499068,413.40162375576665,4.0612430194224824,62.646572018599414
VIN00002,9,Mercedes,C200,1.5L Turbo,AMG Line,84.74334939134566,12.801628281693912,43.81968243231838,2260,99.37619217710889,83.66811465034951,25.060634410097208,1581,49.32024191349914,31.292084723196638,399.866768326731,3.870355553427155,89.62300706059658
VIN00002,10,Mercedes,C200,1.5L Turbo,AMG Line,84.42914743360392,12.877091096921792,50.02194115811961,2403,90.87005594164707,89.51303968584355,57.228513015060535,5525,95.4143100280407,26.035842747134858,426.55373614747333,3.6789411907483602,76.72691771436578
VIN00003,1,Mercedes,C200,1.5L Turbo,AMG Line,86.79696102167983,12.955793678903328,44.203185556292595,195,92.7700426346276,87.26218584308745,32.39881565907666,4065,91.83744481366664,27.240073474558162,372.06607622534887,4.00113253575482,80.44047134136807
VIN00003,2,Mercedes,C200,1.5L Turbo,AMG Line,97.9854451036793,12.841418011443317,45.07412921948927,580,91.92179451407816,79.59031116024111,29.302947643271423,3660,94.09309834224979,24.667443764748615,385.9566573502199,4.019814790153317,98.21272594841128
VIN00003,3,Mercedes,C200,1.5L Turbo,AMG Line,96.24958842656915,12.133454116195917,48.1431983940817,702,87.97321919364293,86.21456274146641,52.38694948312206,4843,31.85981611712798,26.78561240019383,446.9528758048639,3.817579903047228,74.38071156438895
VIN00003,4,Mercedes,C200,1.5L Turbo,AMG Line,90.58341409398423,12.7402484101093,47.98338674211097,1152,89.10375239672653,85.92691705772886,30.87018283478553,2463,15.161843769967422,23.080036859659508,425.91113258905494,3.9123498593319384,90.99117126683223
VIN00003,5,Mercedes,C200,1.5L Turbo,AMG Line,91.18313378491567,12.503353728433762,44.99856776309284,1204,95.20352933383039,85.73971572534414,65.42660841277115,5608,62.396181667963006,25.572602637127154,454.3878506160249,3.6071085568937744,67.33177346145094
VIN00003,6,Mercedes,C200,1.5L Turbo,AMG Line,97.5684278415599,12.498317122089915,45.40067068762268,1618,97.1314259582846,89.92693043112153,86.61950791375688,3023,27.064997529325677,26.67306072345011,423.7024631349243,3.9223140887123114,76.22519193811343
VIN00003,7,Mercedes,C200,1.5L Turbo,AMG Line,87.04602700754457,13.176341454227616,41.1810026828357,2023,93.27293839922417,80.3152349126688,21.64535471378706,4265,79.86464773294426,24.633801879083187,407.6820592917623,3.7507947892944684,89.58279159864645
